team,player name,position,date,injury,status
Oklahoma City,Isaiah Roby,SF,"Wed, Jul 8",Foot,Out for the season
Oklahoma City,Andre Roberson,SG,"Thu, Jun 4",Knee,Game Time Decision
Orlando,Jonathan Isaac,PF,"Wed, Jul 15",Knee,Expected to be out until at least Aug 7
Orlando,Al-Farouq Aminu,PF,"Tue, Jun 9",Knee,Expected to be out until at least Dec 1
Philadelphia,Zhaire Smith,SG,"Mon, Jul 13",Knee,Out for the season
Philadelphia,Ryan Broekhoff,SG,"Sun, Jul 12",Personal,Expected to be out until at least Aug 15
Phoenix,Kelly Oubre Jr.,SF,"Mon, Jul 6",Knee,Game Time Decision
Phoenix,Deandre Ayton,C,"Thu, Jun 4",Ankle,Game Time Decision
Phoenix,Devin Booker,SG,"Thu, Jun 4",Hip,Game Time Decision
Portland,Caleb Swanigan,PF,"Wed, Jul 1",Personal,Out for the season
Portland,Trevor Ariza,SG,"Mon, Jun 22",Personal,Out for the season
Portland,Rodney Hood,SF,"Sat, Dec 7",Achilles,Out for the season
Sacramento,Marvin Bagley III,PF,"Mon, Jul 20",Foot,Game Time Decision
Sacramento,De'Aaron Fox,PG,"Wed, Jul 15",Ankle,Game Time Decision
Sacramento,Harrison Barnes,SF,"Tue, Jul 14",Illness,Game Time Decision
Sacramento,Richaun Holmes,C,"Mon, Jul 13",Not Injury Related,Game Time Decision
San Antonio,Trey Lyles,C,"Wed, Jul 15",Side,Out for the season
San Antonio,LaMarcus Aldridge,PF,"Mon, Jun 8",Shoulder,Out for the season
San Antonio,Lonnie Walker IV,SG,"Thu, Jun 4",Lower Leg,Game Time Decision
Utah,Nigel Williams-Goss,PG,"Thu, Jun 4",Quadriceps,Game Time Decision
Utah,Emmanuel Mudiay,PG,"Thu, Jun 4",Illness,Game Time Decision
Utah,Bojan Bogdanovic,SF,"Mon, May 18",Wrist,Expected to be out until at least Oct 1
Washington,Garrison Mathews,SG,"Thu, Jul 9",Personal,Game Time Decision
Washington,Gary Payton II,PG,"Thu, Jul 9",Illness,Game Time Decision
Washington,Bradley Beal,SG,"Tue, Jul 7",Shoulder,Out for the season
Washington,Davis Bertans,SF,"Mon, Jun 22",Personal,Out for the season
Washington,Isaac Bonga,SF,"Thu, Jun 4",Groin,Game Time Decision
Washington,Ish Smith,PG,"Thu, Jun 4",Hamstring,Game Time Decision
Washington,John Wall,PG,"Sun, Apr 19",Achilles,Out for the season
